District,Block,Village,Year,OID_,total_household,household_with_connection,connection_percentage
East Khasi Hills,Mawphlang,Mawlyngthoh,2022-2023,458893,97,0,0.0
East Khasi Hills,Mawphlang,Mawmahwar,2022-2023,458894,67,45,67.16
East Khasi Hills,Mawphlang,Mawmaram,2022-2023,458895,213,0,0.0
East Khasi Hills,Mawphlang,Mawmyrsiang,2022-2023,458896,75,40,53.33
East Khasi Hills,Mawphlang,Mawngap Khliehshnong,2022-2023,458897,126,0,0.0
East Khasi Hills,Mawphlang,Mawngap Lumparing,2022-2023,458898,156,0,0.0
East Khasi Hills,Mawphlang,Mawngap Mawkharshiing,2022-2023,458899,165,0,0.0
East Khasi Hills,Mawphlang,Mawngap Mawsmai,2022-2023,458900,137,90,65.69
East Khasi Hills,Mawphlang,Mawngap Rim,2022-2023,458901,143,0,0.0
East Khasi Hills,Mawphlang,Mawphansnar,2022-2023,458902,60,40,66.67
East Khasi Hills,Mawphlang,Mawponghong,2022-2023,458903,111,0,0.0
East Khasi Hills,Mawphlang,Mawprem Mission,2022-2023,458904,55,24,43.64
East Khasi Hills,Mawphlang,Mawpun Nengneng,2022-2023,458905,52,0,0.0
East Khasi Hills,Mawphlang,Mawpunrum,2022-2023,458906,57,0,0.0
East Khasi Hills,Mawphlang,Mawreng,2022-2023,458907,237,0,0.0
East Khasi Hills,Mawphlang,Mawreng Mihngi,2022-2023,458908,77,0,0.0
East Khasi Hills,Mawphlang,Mawrihpih B,2022-2023,458909,70,0,0.0
East Khasi Hills,Mawphlang,Mawshyieng,2022-2023,458910,27,0,0.0
East Khasi Hills,Mawphlang,Mawsniang,2022-2023,458911,33,0,0.0
East Khasi Hills,Mawphlang,Mawthlong Mynsain,2022-2023,458912,246,123,50.0
East Khasi Hills,Mawphlang,Mission Compound (mawphlang),2022-2023,458913,56,3,5.36
East Khasi Hills,Mawphlang,Mynsain,2022-2023,458914,19,0,0.0
East Khasi Hills,Mawphlang,Nongbsap,2022-2023,458915,123,0,0.0
East Khasi Hills,Mawphlang,Nongbsap Mission,2022-2023,458916,58,0,0.0
East Khasi Hills,Mawphlang,Nongkhlaw Rynli,2022-2023,458917,48,0,0.0
East Khasi Hills,Mawphlang,Nonglwai,2022-2023,458918,48,0,0.0
East Khasi Hills,Mawphlang,Nongspung,2022-2023,458919,1286,573,57300.0
East Khasi Hills,Mawphlang,Nongthymmai Rum,2022-2023,458920,54,0,0.0
East Khasi Hills,Mawphlang,Nongthymmai-neng,2022-2023,458921,95,0,0.0
East Khasi Hills,Mawphlang,Nongur,2022-2023,458922,213,0,0.0
East Khasi Hills,Mawphlang,Pyndengshnong Lyngkhoi,2022-2023,458923,81,0,0.0
East Khasi Hills,Mawphlang,Perkseh,2022-2023,458924,82,0,0.0
East Khasi Hills,Mawphlang,Phaniawlah Rum,2022-2023,458925,87,0,0.0
East Khasi Hills,Mawphlang,Phanniewlahneng,2022-2023,458926,156,0,0.0
East Khasi Hills,Mawphlang,Phansawrang,2022-2023,458927,84,40,47.62
East Khasi Hills,Mawphlang,Phudmyrdong,2022-2023,458928,173,0,0.0
East Khasi Hills,Mawphlang,Pyndenlitha,2022-2023,458929,324,5,1.54
East Khasi Hills,Mawphlang,Pyrton Sohphoh,2022-2023,458930,56,0,0.0
East Khasi Hills,Mawphlang,Rang Shyrkham,2022-2023,458931,30,0,0.0
East Khasi Hills,Mawphlang,Rangshken,2022-2023,458932,184,0,0.0
East Khasi Hills,Mawphlang,Rynli,2022-2023,458933,79,0,0.0
East Khasi Hills,Mawphlang,Sohksar,2022-2023,458934,67,0,0.0
East Khasi Hills,Mawphlang,Sohlwai,2022-2023,458935,63,0,0.0
East Khasi Hills,Mawphlang,Sohphoh Pyrton,2022-2023,458936,57,0,0.0
East Khasi Hills,Mawphlang,Sohpian,2022-2023,458937,65,0,0.0
East Khasi Hills,Mawphlang,Sohram Lwai,2022-2023,458938,78,0,0.0
East Khasi Hills,Mawphlang,Thainthynroh Mawlum,2022-2023,458939,288,0,0.0
East Khasi Hills,Mawphlang,Tiehbah,2022-2023,458940,162,0,0.0
East Khasi Hills,Mawphlang,Traw Saitkhlieh,2022-2023,458941,95,0,0.0
East Khasi Hills,Mawphlang,Umkaber,2022-2023,458942,93,0,0.0
East Khasi Hills,Mawphlang,Ummawiong,2022-2023,458943,40,0,0.0
East Khasi Hills,Mawphlang,Umsaw,2022-2023,458944,340,3,0.88
East Khasi Hills,Mawphlang,Umsaw Dombhoi,2022-2023,458945,76,0,0.0
East Khasi Hills,Mawphlang,Umsier Lumthangblang,2022-2023,458946,16,10,62.5
East Khasi Hills,Mawphlang,Umsohiong,2022-2023,458947,48,0,0.0
East Khasi Hills,Mawphlang,Umthlong,2022-2023,458948,92,0,0.0
East Khasi Hills,Mawphlang,Umtyrnuit,2022-2023,458949,92,0,0.0
East Khasi Hills,Mawphlang,Ur-ur,2022-2023,458950,107,50,46.73
East Khasi Hills,Mawphlang,Wahjarain,2022-2023,458951,30,0,0.0
East Khasi Hills,Mawphlang,Wahlang,2022-2023,458952,158,60,37.97
East Khasi Hills,Mawphlang,Wahlyngkien Ramklang,2022-2023,458953,114,0,0.0
East Khasi Hills,Mawphlang,Wahlyngkien Sunei,2022-2023,458954,85,0,0.0
East Khasi Hills,Mawphlang,Wahlyngngai,2022-2023,458955,72,0,0.0
East Khasi Hills,Mawphlang,Wahnongkseh,2022-2023,458956,127,0,0.0
East Khasi Hills,Mawphlang,Wahrahaw,2022-2023,458957,93,35,37.63
East Khasi Hills,Mawphlang,Wahramkhar,2022-2023,458958,19,0,0.0
East Khasi Hills,Mawphlang,Wahsohlait,2022-2023,458959,153,0,0.0
East Khasi Hills,Mawphlang,Wahumlawbah,2022-2023,458960,96,0,0.0
East Khasi Hills,Mawphlang,Weilyngkut,2022-2023,458961,57,0,0.0
East Khasi Hills,Mawphlang,Weilyngkut A,2022-2023,458962,71,0,0.0
East Khasi Hills,Mawphlang,Weilyngkut Kohphet,2022-2023,458963,47,0,0.0
East Khasi Hills,Mawryngkneng,Diengpasoh,2022-2023,458964,556,0,0.0
East Khasi Hills,Mawryngkneng,Iewpomtiah,2022-2023,458965,139,0,0.0
East Khasi Hills,Mawryngkneng,Jarain,2022-2023,458966,54,0,0.0
East Khasi Hills,Mawryngkneng,Jyntah,2022-2023,458967,131,0,0.0
East Khasi Hills,Mawryngkneng,Khon-shnong,2022-2023,458968,10,0,0.0
East Khasi Hills,Mawryngkneng,Kynton-u-mon,2022-2023,458969,250,169,67.6
East Khasi Hills,Mawryngkneng,Lamlyer,2022-2023,458970,160,0,0.0
East Khasi Hills,Mawryngkneng,Lumdiengsai,2022-2023,458971,104,0,0.0
East Khasi Hills,Mawryngkneng,Lumkseh,2022-2023,458972,103,0,0.0
East Khasi Hills,Mawryngkneng,Madan Langning,2022-2023,458973,116,1,0.86
East Khasi Hills,Mawryngkneng,Maw Pynthaw,2022-2023,458974,117,0,0.0
East Khasi Hills,Mawryngkneng,Maw-u-sam,2022-2023,458975,194,0,0.0
East Khasi Hills,Mawryngkneng,Mawber,2022-2023,458976,452,0,0.0
East Khasi Hills,Mawryngkneng,Mawiong,2022-2023,458977,160,0,0.0
East Khasi Hills,Mawryngkneng,Mawiong Sung,2022-2023,458978,54,0,0.0
East Khasi Hills,Mawryngkneng,Mawkathein,2022-2023,458979,43,0,0.0
East Khasi Hills,Mawryngkneng,Mawkynring,2022-2023,458980,103,0,0.0
East Khasi Hills,Mawryngkneng,Mawlyngngad,2022-2023,458981,372,0,0.0
East Khasi Hills,Mawryngkneng,Mawlynrei,2022-2023,458982,1010,1,100.0
East Khasi Hills,Mawryngkneng,Mawmuthoh,2022-2023,458983,330,0,0.0
East Khasi Hills,Mawryngkneng,Mawpdang,2022-2023,458984,450,3,0.67
East Khasi Hills,Mawryngkneng,Mawpyrshong,2022-2023,458985,315,1,0.32
East Khasi Hills,Mawryngkneng,Mawryngkneng,2022-2023,458986,1607,0,0.0
East Khasi Hills,Mawryngkneng,Mawshbuit,2022-2023,458987,644,0,0.0
East Khasi Hills,Mawryngkneng,Mynriang,2022-2023,458988,164,0,0.0
East Khasi Hills,Mawryngkneng,Nongkrem,2022-2023,458989,1002,0,0.0
East Khasi Hills,Mawryngkneng,Nongplit,2022-2023,458990,61,0,0.0
East Khasi Hills,Mawryngkneng,Pepbah,2022-2023,458991,33,0,0.0
East Khasi Hills,Mawryngkneng,Pommura,2022-2023,458992,144,0,0.0
East Khasi Hills,Mawryngkneng,Puriang,2022-2023,458993,482,0,0.0
East Khasi Hills,Mawryngkneng,Ryngksaw,2022-2023,458994,52,0,0.0
East Khasi Hills,Mawryngkneng,Siejiong,2022-2023,458995,160,1,0.63
East Khasi Hills,Mawryngkneng,Smit,2022-2023,458996,1010,491,49100.0
East Khasi Hills,Mawryngkneng,Sohlaper,2022-2023,458997,47,0,0.0
East Khasi Hills,Mawryngkneng,Thangshalai,2022-2023,458998,146,0,0.0
East Khasi Hills,Mawryngkneng,Tynring,2022-2023,458999,413,0,0.0
East Khasi Hills,Mawryngkneng,Umiew Maw U Sam,2022-2023,459000,132,0,0.0
East Khasi Hills,Mawryngkneng,Ummir,2022-2023,459001,58,32,55.17
East Khasi Hills,Mawryngkneng,Umphrup,2022-2023,459002,378,0,0.0
East Khasi Hills,Mawryngkneng,Umphyrnai,2022-2023,459003,608,0,0.0
East Khasi Hills,Mawryngkneng,Umtngew,2022-2023,459004,67,0,0.0
East Khasi Hills,Mawryngkneng,Ur-masi-u-joh,2022-2023,459005,230,0,0.0
East Khasi Hills,Mawryngkneng,Wahtyrthi,2022-2023,459006,41,0,0.0
East Khasi Hills,Mawsynram,Asimpara B,2022-2023,459007,35,2,5.71
East Khasi Hills,Mawsynram,Asimpara A,2022-2023,459008,40,2,5.0
East Khasi Hills,Mawsynram,Betgora A,2022-2023,459009,50,4,8.0
East Khasi Hills,Mawsynram,Betgora B,2022-2023,459010,80,2,2.5
East Khasi Hills,Mawsynram,Bordup,2022-2023,459011,71,2,2.82
East Khasi Hills,Mawsynram,Boro Ryngku,2022-2023,459012,120,3,2.5
East Khasi Hills,Mawsynram,Chirakatta,2022-2023,459013,150,3,2.0
East Khasi Hills,Mawsynram,Dangar Dombah (garo),2022-2023,459014,70,38,54.29
East Khasi Hills,Mawsynram,Dangar Dombah (khasi),2022-2023,459015,220,90,40.91
East Khasi Hills,Mawsynram,Dangar Dop,2022-2023,459016,70,2,2.86
East Khasi Hills,Mawsynram,Delsora,2022-2023,459017,120,3,2.5
East Khasi Hills,Mawsynram,Dewkber,2022-2023,459018,11,2,18.18
East Khasi Hills,Mawsynram,Dewsaw,2022-2023,459019,42,28,66.67
East Khasi Hills,Mawsynram,Dewsawlia,2022-2023,459020,62,39,62.9
East Khasi Hills,Mawsynram,Dholai Bhowal,2022-2023,459021,40,2,5.0
East Khasi Hills,Mawsynram,Dholai Malai,2022-2023,459022,80,2,2.5
East Khasi Hills,Mawsynram,Dobakhol,2022-2023,459023,38,2,5.26
East Khasi Hills,Mawsynram,Dombah,2022-2023,459024,22,12,54.55
East Khasi Hills,Mawsynram,Domjri,2022-2023,459025,40,3,7.5
East Khasi Hills,Mawsynram,Domskong,2022-2023,459026,55,0,0.0
East Khasi Hills,Mawsynram,Domsohpian,2022-2023,459027,64,0,0.0
East Khasi Hills,Mawsynram,Dopho,2022-2023,459028,24,2,8.33
East Khasi Hills,Mawsynram,Hapkata,2022-2023,459029,13,2,15.38
East Khasi Hills,Mawsynram,Hurupukni,2022-2023,459030,84,4,4.76
East Khasi Hills,Mawsynram,Iapshynreh,2022-2023,459031,30,2,6.67
East Khasi Hills,Mawsynram,Ingkyrsa,2022-2023,459032,63,33,52.38
East Khasi Hills,Mawsynram,Joiram,2022-2023,459033,87,2,2.3
East Khasi Hills,Mawsynram,Jyllep,2022-2023,459034,69,2,2.9
East Khasi Hills,Mawsynram,Jympiat,2022-2023,459035,33,2,6.06
East Khasi Hills,Mawsynram,Kalasandia,2022-2023,459036,32,2,6.25
East Khasi Hills,Mawsynram,Kamarphil,2022-2023,459037,86,2,2.33
East Khasi Hills,Mawsynram,Katradua,2022-2023,459038,29,2,6.9
East Khasi Hills,Mawsynram,Katrang,2022-2023,459039,24,2,8.33
East Khasi Hills,Mawsynram,Kenbah Malai,2022-2023,459040,169,78,46.15
East Khasi Hills,Mawsynram,Kenshluid,2022-2023,459041,41,25,60.98
East Khasi Hills,Mawsynram,Khaikuna,2022-2023,459042,30,2,6.67
East Khasi Hills,Mawsynram,Kharabri (garo),2022-2023,459043,52,2,3.85
East Khasi Hills,Mawsynram,Kharabri (khasi),2022-2023,459044,40,5,12.5
East Khasi Hills,Mawsynram,Kharprah,2022-2023,459045,25,2,8.0
East Khasi Hills,Mawsynram,Kmawan,2022-2023,459046,146,4,2.74
East Khasi Hills,Mawsynram,Kusudup,2022-2023,459047,75,2,2.67
East Khasi Hills,Mawsynram,Kyndong Wahrit,2022-2023,459048,12,2,16.67
East Khasi Hills,Mawsynram,Kyrphei,2022-2023,459049,157,75,47.77
East Khasi Hills,Mawsynram,Laitniangtlong,2022-2023,459050,35,2,5.71
East Khasi Hills,Mawsynram,Laitsohum,2022-2023,459051,52,0,0.0
East Khasi Hills,Mawsynram,Laitumsaw,2022-2023,459052,68,2,2.94
East Khasi Hills,Mawsynram,Lalpani,2022-2023,459053,88,3,3.41
East Khasi Hills,Mawsynram,Langsymphut,2022-2023,459054,99,0,0.0
East Khasi Hills,Mawsynram,Lawbah,2022-2023,459055,315,203,64.44
East Khasi Hills,Mawsynram,Lawkhla Mawlong,2022-2023,459056,43,4,9.3
East Khasi Hills,Mawsynram,Lyngkhom,2022-2023,459057,48,0,0.0
East Khasi Hills,Mawsynram,Makhali,2022-2023,459058,70,2,2.86
East Khasi Hills,Mawsynram,Mawdiengkhied,2022-2023,459059,16,4,25.0
East Khasi Hills,Mawsynram,Mawdon,2022-2023,459060,84,0,0.0
East Khasi Hills,Mawsynram,Mawhiang,2022-2023,459061,218,5,2.29
East Khasi Hills,Mawsynram,Mawkasain,2022-2023,459062,154,69,44.81
East Khasi Hills,Mawsynram,Mawkhan,2022-2023,459063,104,0,0.0
East Khasi Hills,Mawsynram,Mawksing,2022-2023,459064,41,22,53.66
East Khasi Hills,Mawsynram,Mawlaitshnong,2022-2023,459065,2,1,50.0
East Khasi Hills,Mawsynram,Mawliehpoh,2022-2023,459066,56,0,0.0
East Khasi Hills,Mawsynram,Mawlum Tyrsad,2022-2023,459067,106,0,0.0
East Khasi Hills,Mawsynram,Mawlyngkut,2022-2023,459068,56,0,0.0
East Khasi Hills,Mawsynram,Mawlynnu,2022-2023,459069,140,92,65.71
East Khasi Hills,Mawsynram,Mawpdai,2022-2023,459070,52,4,7.69
East Khasi Hills,Mawsynram,Mawpen,2022-2023,459071,127,68,53.54
East Khasi Hills,Mawsynram,Mawrapad,2022-2023,459072,90,58,64.44
East Khasi Hills,Mawsynram,Mawrohroh,2022-2023,459073,39,0,0.0
East Khasi Hills,Mawsynram,Mawryngkang,2022-2023,459074,186,5,2.69
East Khasi Hills,Mawsynram,Mawsawa,2022-2023,459075,52,19,36.54
East Khasi Hills,Mawsynram,Mawsawrit,2022-2023,459076,25,0,0.0
East Khasi Hills,Mawsynram,Mawspong,2022-2023,459077,27,2,7.41
East Khasi Hills,Mawsynram,Mawtangor,2022-2023,459078,86,0,0.0
East Khasi Hills,Mawsynram,Mawteibah,2022-2023,459079,125,0,0.0
East Khasi Hills,Mawsynram,Mongdisiar,2022-2023,459080,32,2,6.25
East Khasi Hills,Mawsynram,Nayapara,2022-2023,459081,62,6,9.68
East Khasi Hills,Mawsynram,Nongdom Mawria,2022-2023,459082,155,5,3.23
East Khasi Hills,Mawsynram,Nongkriah,2022-2023,459083,26,2,7.69
East Khasi Hills,Mawsynram,Nonglait,2022-2023,459084,100,0,0.0
East Khasi Hills,Mawsynram,Nongmadan,2022-2023,459085,53,0,0.0
East Khasi Hills,Mawsynram,Nongriwah,2022-2023,459086,23,0,0.0
East Khasi Hills,Mawsynram,Nongshluid,2022-2023,459087,68,46,67.65
East Khasi Hills,Mawsynram,Nongwah,2022-2023,459088,158,3,1.9
East Khasi Hills,Mawsynram,Pataghat,2022-2023,459089,110,3,2.73
East Khasi Hills,Mawsynram,Pathari,2022-2023,459090,48,2,4.17
East Khasi Hills,Mawsynram,Peppara,2022-2023,459091,56,2,3.57
East Khasi Hills,Mawsynram,Phlangmawsyrpat,2022-2023,459092,121,5,4.13
East Khasi Hills,Mawsynram,Phlangwanbroi,2022-2023,459093,240,99,41.25
East Khasi Hills,Mawsynram,Phudphanblei,2022-2023,459094,35,0,0.0
East Khasi Hills,Mawsynram,Pisakuna,2022-2023,459095,47,2,4.26
East Khasi Hills,Mawsynram,Pomblang,2022-2023,459096,102,4,3.92
East Khasi Hills,Mawsynram,Pomsanngut,2022-2023,459097,39,0,0.0
East Khasi Hills,Mawsynram,Pongkung,2022-2023,459098,304,0,0.0
East Khasi Hills,Mawsynram,Purnonagar,2022-2023,459099,35,2,5.71
East Khasi Hills,Mawsynram,Pyndenborsora,2022-2023,459100,160,3,1.88
East Khasi Hills,Mawsynram,Rajagaon East,2022-2023,459101,40,2,5.0
East Khasi Hills,Mawsynram,Rajagaon West,2022-2023,459102,40,2,5.0
East Khasi Hills,Mawsynram,Rangsohkham,2022-2023,459103,15,2,13.33
East Khasi Hills,Mawsynram,Ryngku Bazaar,2022-2023,459104,211,3,1.42
East Khasi Hills,Mawsynram,Ryngku Mukh,2022-2023,459105,19,2,10.53
East Khasi Hills,Mawsynram,Ryngkuskong,2022-2023,459106,61,2,3.28
East Khasi Hills,Mawsynram,Sanditola,2022-2023,459107,67,2,2.99
East Khasi Hills,Mawsynram,Sinai Mawshynrut,2022-2023,459108,97,0,0.0
East Khasi Hills,Mawsynram,Sonatola,2022-2023,459109,131,3,2.29
East Khasi Hills,Mawsynram,Synnei Nongrim,2022-2023,459110,46,0,0.0
East Khasi Hills,Mawsynram,Synnei Nongtymmai,2022-2023,459111,35,0,0.0
East Khasi Hills,Mawsynram,Telsora A,2022-2023,459112,50,2,4.0
East Khasi Hills,Mawsynram,Telsora B,2022-2023,459113,43,2,4.65
East Khasi Hills,Mawsynram,Terojamra,2022-2023,459114,75,2,2.67
East Khasi Hills,Mawsynram,Thakurnow,2022-2023,459115,35,3,8.57
East Khasi Hills,Mawsynram,Thieddieng Nongrim,2022-2023,459116,66,42,63.64
East Khasi Hills,Mawsynram,Thieddieng Nongtymmai,2022-2023,459117,100,57,57.0
East Khasi Hills,Mawsynram,Thyllaw Warding,2022-2023,459118,124,4,3.23
East Khasi Hills,Mawsynram,Tilagaon,2022-2023,459119,65,1,1.54
East Khasi Hills,Mawsynram,Umkseh,2022-2023,459120,201,0,0.0
East Khasi Hills,Mawsynram,Umlangmar,2022-2023,459121,110,60,54.55
East Khasi Hills,Mawsynram,Umlew Nayapara,2022-2023,459122,33,2,6.06
East Khasi Hills,Mawsynram,Umlynter,2022-2023,459123,23,2,8.7
East Khasi Hills,Mawsynram,Umniang,2022-2023,459124,25,2,8.0
East Khasi Hills,Mawsynram,Umphniang,2022-2023,459125,8,2,25.0
East Khasi Hills,Mawsynram,Umpyrdong,2022-2023,459126,23,2,8.7
East Khasi Hills,Mawsynram,Umsawrang,2022-2023,459127,81,52,64.2
East Khasi Hills,Mawsynram,Umtyllun,2022-2023,459128,59,37,62.71
East Khasi Hills,Mawsynram,Umtynriew,2022-2023,459129,20,2,10.0
East Khasi Hills,Mawsynram,Wahparkti,2022-2023,459130,5,2,40.0
East Khasi Hills,Mawsynram,Weiloi,2022-2023,459131,140,5,3.57
East Khasi Hills,Mawsynram,Weisohpieng,2022-2023,459132,80,2,2.5
East Khasi Hills,Mylliem,3rd & Half Mile,2022-2023,459133,285,0,0.0
East Khasi Hills,Mylliem,4th & Half Mile,2022-2023,459134,162,0,0.0
East Khasi Hills,Mylliem,4th Mile,2022-2023,459135,88,0,0.0
East Khasi Hills,Mylliem,5th Mile,2022-2023,459136,271,0,0.0
East Khasi Hills,Mylliem,Banuin,2022-2023,459137,336,45,13.39
East Khasi Hills,Mylliem,Demthring,2022-2023,459138,75,0,0.0
East Khasi Hills,Mylliem,Diengiong,2022-2023,459139,28,0,0.0
East Khasi Hills,Mylliem,Kyndong,2022-2023,459140,202,0,0.0
East Khasi Hills,Mylliem,Laitjem,2022-2023,459141,349,2,0.57
East Khasi Hills,Mylliem,Laitkor Lumheh,2022-2023,459142,873,0,0.0
East Khasi Hills,Mylliem,Laitkor Mawri,2022-2023,459143,700,0,0.0
East Khasi Hills,Mylliem,Laitkor Nongdaneng,2022-2023,459144,471,0,0.0
East Khasi Hills,Mylliem,Laitkor Rngi,2022-2023,459145,257,0,0.0
